State,Type,Tenure,Median_Price,Median_PSF,Transactions
Perak,"Terrace House, Semi D, Bungalow","Freehold, Leasehold",425000.0,171.0,39.0
Selangor,"Bungalow, Terrace House, Semi D",Freehold,948000.0,464.0,39.0
Melaka,Cluster House,Freehold,375153.85,138.82,39.0
Penang,Service Residence,Freehold,788717.95,753.64,39.0
Terengganu,"Semi D, Terrace House","Freehold, Leasehold",350000.0,108.0,38.0
Pahang,Apartment,Freehold,309052.63,372.11,38.0
Penang,"Cluster House, Terrace House, Semi D",Leasehold,570000.0,376.0,37.0
Sarawak,"Semi D, Terrace House, Bungalow",Leasehold,350000.0,151.0,36.0
Johor,Bungalow,Freehold,1157366.67,269.0,36.0
Pahang,Semi D,Freehold,408571.43,128.14,35.0
Kedah,Flat,Freehold,91771.43,161.49,35.0
Sarawak,Condominium,Leasehold,530571.43,494.26,35.0
Melaka,"Cluster House, Terrace House",Freehold,269100.0,175.0,34.0
Perak,Semi D,Leasehold,609000.0,252.0,34.0
Negeri Sembilan,Semi D,Freehold,691626.76,206.06,34.0
Negeri Sembilan,"Semi D, Terrace House, Cluster House",Freehold,433680.0,279.0,33.0
Johor,Service Residence,"Leasehold, Freehold",365000.0,437.0,33.0
Pahang,Terrace House,"Freehold, Leasehold",228818.18,168.73,33.0
Melaka,Bungalow,Leasehold,632000.0,136.0,32.0
Johor,Bungalow,Leasehold,335000.0,95.0,32.0
Penang,"Bungalow, Terrace House",Freehold,1512903.23,376.35,31.0
Pahang,Semi D,Leasehold,183548.39,61.0,31.0
Johor,"Bungalow, Semi D",Freehold,638322.58,170.35,31.0
Terengganu,Terrace House,Freehold,274850.0,177.0,30.0
Selangor,"Town House, Terrace House",Freehold,654203.33,407.77,30.0
Johor,"Semi D, Bungalow",Freehold,980000.0,275.0,29.0
Perlis,"Semi D, Terrace House",Freehold,414428.0,205.0,29.0
Selangor,"Semi D, Cluster House, Bungalow",Freehold,2330000.0,495.0,29.0
Selangor,"Terrace House, Bungalow","Leasehold, Freehold",561551.72,279.93,29.0
Negeri Sembilan,Terrace House,"Freehold, Leasehold",208620.69,141.86,29.0
Penang,"Terrace House, Bungalow",Freehold,618744.0,271.0,28.0
Melaka,"Bungalow, Town House",Freehold,627500.0,158.0,28.0
Johor,"Town House, Semi D",Freehold,650000.0,422.0,28.0
Terengganu,Apartment,Leasehold,232000.0,276.0,28.0
Kuala Lumpur,"Terrace House, Cluster House",Leasehold,332500.0,405.5,28.0
Penang,"Terrace House, Town House","Freehold, Leasehold",350000.0,396.0,27.0
Terengganu,"Bungalow, Semi D",Freehold,335555.56,112.78,27.0
Sarawak,Flat,Leasehold,87666.67,149.67,27.0
Melaka,Apartment,Freehold,278333.33,245.04,27.0
Sabah,"Terrace House, Cluster House",Leasehold,200000.0,205.0,26.0
Johor,"Terrace House, Semi D",Leasehold,330000.0,251.0,26.0
Terengganu,Flat,Leasehold,66500.0,106.0,26.0
Sabah,"Semi D, Terrace House",Leasehold,719230.77,218.5,26.0
Melaka,"Cluster House, Terrace House",Leasehold,257500.0,155.54,26.0
Labuan,Flat,Leasehold,130000.0,169.0,25.0
Pahang,"Semi D, Terrace House",Leasehold,212000.0,133.2,25.0
Negeri Sembilan,Cluster House,Freehold,370920.0,210.2,25.0
Melaka,"Terrace House, Bungalow",Freehold,685000.0,234.0,24.0
Selangor,"Cluster House, Terrace House, Semi D",Freehold,447500.0,337.0,24.0
Melaka,"Cluster House, Semi D",Freehold,699000.0,213.0,24.0
Pahang,"Terrace House, Semi D",Leasehold,192500.0,150.0,24.0
Selangor,"Bungalow, Terrace House, Semi D",Leasehold,1750000.0,452.0,24.0
Melaka,Semi D,Freehold,415125.0,127.17,24.0
Kuala Lumpur,Cluster House,Leasehold,240000.0,385.0,23.0
Selangor,Town House,Freehold,410434.78,283.04,23.0
Kedah,"Terrace House, Semi D, Bungalow",Freehold,378000.0,202.0,22.0
Selangor,Terrace House,"Freehold, Leasehold",538750.0,335.64,22.0
Terengganu,"Terrace House, Bungalow, Semi D",Freehold,335000.0,190.0,21.0
Selangor,"Town House, Terrace House",Leasehold,1260000.0,571.0,21.0
Sarawak,Terrace House,"Leasehold, Freehold",522857.14,240.1,21.0
Melaka,Terrace House,"Leasehold, Freehold",273809.52,197.48,21.0
Melaka,"Terrace House, Town House",Leasehold,326500.0,182.0,20.0
Johor,Condominium,Leasehold,485000.0,439.0,20.0
Kuala Lumpur,"Terrace House, Bungalow",Freehold,1710000.0,814.0,19.0
Sarawak,"Terrace House, Bungalow",Leasehold,420000.0,220.0,19.0
